"parent","child","instanceName","symbolType"
"fillPenButtons","toolmenuChild/quickSidebarButton","fillPenSidebar","button"
"fillPenCancel","toolmenuChild/toolmenuButton1","lassoResize","button"
"fillPenCancel","lassoChild/lassoCanceIcon","","graphic"
"FillPenMenuSet","fillPenSEtChild/fillPenBG","fillPenBGTitle","button"
"FillPenMenuSet","fillPenSEtChild/fillPenBG","fillPenBG","button"
"FillPenMenuSet","fillPenSEtChild/fillPenUndoButton","fillPenUndo","button"
"FillPenMenuSet","fillPenSEtChild/fillPenOK","fillPenOK","button"
"FillPenMenuSet","fillPenSEtChild/fillPenCancel","fillPenCancel","button"
"FillPenMenuSet","toolmenuChild/quickSidebarButton","fillPenSidebar","button"
"fillPenOK","toolmenuChild/toolmenuButton1","lassoResize","button"
"fillPenOK","okIcon","","graphic"
"fillPenUndoButton","toolBoxBG2","","button"
"fillPenUndoButton","toolmenuChild/icons/undoIcon","","button"
"fitToWindowButton","topMenuChild/topMenuButton","","button"
"fitToWindowButton","fitToWindowIcon","","graphic"
"FOFO","etc/fofoBottom","fofo","button"
"FOFO","etc/fofoBottom","fofo","button"
"fofoBottomBox","etc/fofoBottom","fofo","button"
"fofoBottomBox","etc/fofoBottom","fofo","button"
"lasso1pxLeft","toolmenuChild/toolmenuButton1","lassoMove","button"
"lasso1pxLeft","lasso1pxIcon","","button"
"lassoButtons","etc/bg2","lassoMenuBG","button"
"lassoButtons","LassoMenuChild/lassoMenuBG2","lassoMenuMoveButton","button"
"lassoButtons","LassoMenuChild/lassomenuBG","lassoMenuBG2","button"
"lassoButtons","LassoMenuChild/lassoOKButton","lassoOK","button"
"lassoButtons","LassoMenuChild/lassoCancelButton","lassoCancel","button"
"lassoButtons","LassoMenuChild/lassoResizeButton","lassoResize","button"
"lassoButtons","LassoMenuChild/lassoMirrorButton","lassoMirror","button"
"lassoButtons","LassoMenuChild/lassoRotateButton","lassoRotate","button"
"lassoButtons","LassoMenuChild/lasso1pxLeft","lasso1pxLeft","button"
"lassoButtons","LassoMenuChild/lasso1pxLeft","lasso1pxRight","button"
"lassoButtons","LassoMenuChild/lasso1pxLeft","lasso1pxDown","button"
"lassoButtons","LassoMenuChild/lasso1pxLeft","lasso1pxUp","button"
"lassoButtons","LassoMenuChild/lassoCopyButton","lassoCopy","button"
"lassoButtons","LassoMenuChild/lassoLayerSwap","lassoLayerSwap","button"
"lassoButtons","LassoMenuChild/lassoLayerMergeButton","lassoLayerMerge","button"
"lassoButtons","LassoMenuChild/lassoRefLayerTransferImageButton","lassoRefLayer","button"
"lassoLayerMergeButton","toolmenuChild/toolmenuButton1","traceButtonMini","button"
"lassoLayerMergeButton","lassoLayerMergeIcon","","graphic"
"lassoLayerSwap","toolmenuChild/toolmenuButton1","toolZoom","button"
"lassoLayerSwap","lassoSwapLayerIcon","","graphic"
"LassoMenuSet","etc/bg2","lassoMenuBG","button"
"LassoMenuSet","LassoMenuChild/lassoMenuBG2","lassoMenuMoveButton","button"
"LassoMenuSet","LassoMenuChild/lassomenuBG","lassoMenuBG2","button"
"LassoMenuSet","LassoMenuChild/lassoOKButton","lassoOK","button"
"LassoMenuSet","LassoMenuChild/lassoCancelButton","lassoCancel","button"
"LassoMenuSet","LassoMenuChild/lassoResizeButton","lassoResize","button"
"LassoMenuSet","LassoMenuChild/lassoMirrorButton","lassoMirror","button"
"LassoMenuSet","LassoMenuChild/lassoRotateButton","lassoRotate","button"
"LassoMenuSet","LassoMenuChild/lasso1pxLeft","lasso1pxLeft","button"
"LassoMenuSet","LassoMenuChild/lasso1pxLeft","lasso1pxRight","button"
"LassoMenuSet","LassoMenuChild/lasso1pxLeft","lasso1pxDown","button"
"LassoMenuSet","LassoMenuChild/lasso1pxLeft","lasso1pxUp","button"
"LassoMenuSet","LassoMenuChild/lassoCopyButton","lassoCopy","button"
"LassoMenuSet","LassoMenuChild/lassoLayerSwap","lassoLayerSwap","button"
"LassoMenuSet","LassoMenuChild/lassoLayerMergeButton","lassoLayerMerge","button"
"LassoMenuSet","LassoMenuChild/lassoRefLayerTransferImageButton","lassoRefLayer","button"
"lassoTraceButton","toolmenuChild/toolmenuButton1","traceButtonMini","button"
"lassoTraceButton","topMenuChild/traceIconTrace","","graphic"
"layer1MergeButton","layerOptionsBG","","graphic"
"layer1MergeButton","layer1MergeIcon","","graphic"
"layer1MergeButton","layerOptionsBG","","graphic"
"layer1MergeButton","layer1MergeIcon","","graphic"
"layer1MergeButton","layerOptionsBG","","graphic"
"layer1MergeButton","layer1MergeIcon","","graphic"
"layer1MergeButton","layerOptionsBG","","graphic"
"layer1MergeButton","layer1MergeIcon","","graphic"
"layerSwapButton","layerOptionsBG","","graphic"
"layerSwapButton","layerSwapIcon","","graphic"
"layerSwapButton","layerOptionsBG","","graphic"
"layerSwapButton","layerSwapIcon","","graphic"
"layerSwapButton","layerOptionsBG","","graphic"
"layerSwapButton","layerSwapIcon","","graphic"
"layerSwapButton","layerOptionsBG","","graphic"
"layerSwapButton","layerSwapIcon","","graphic"
"loadBox","LoadBoxChild/dragDropFileButton","dragDropLoadButton","button"
"loadBox","LoadBoxChild/dragDropRefButton","dragDropLoadRefLayerButton","button"
"loadBox","LoadBoxChild/dragDropCancelButton","dragDropCancelButton","button"
"loadBox","LoadBoxChild/dragDropFileSaveButton","dragDropSaveAndLoadButton","button"
"LoadBoxSet","LoadBoxChild/dragDropFileButton","dragDropLoadButton","button"
"LoadBoxSet","LoadBoxChild/dragDropRefButton","dragDropLoadRefLayerButton","button"
"LoadBoxSet","LoadBoxChild/dragDropCancelButton","dragDropCancelButton","button"
"LoadBoxSet","LoadBoxChild/dragDropFileSaveButton","dragDropSaveAndLoadButton","button"
"newWindowButton","topMenuChild/topMenuButton","","button"
"newWindowButton","newWindowIcon","","graphic"
"newWindowCloseButton","topMenuChild/topMenuButton","","button"
"newWindowCloseButton","newWindowCloseIcon","","graphic"
"numPadButtons","numpadChild/numpadButton","numInc","button"
"numPadButtons","numpadChild/numpadButton","num0","button"
"numPadButtons","numpadChild/numpadButton","numDec","button"
"numPadButtons","numpadChild/numpadButton","num9","button"
"numPadButtons","numpadChild/numpadButton","num8","button"
"numPadButtons","numpadChild/numpadButton","num7","button"
"numPadButtons","numpadChild/numpadButton","oklchBG","button"
"numPadButtons","numpadChild/numpadButton","num6","button"
"numPadButtons","numpadChild/numpadButton","num5","button"
"numPadButtons","numpadChild/numpadButton","num4","button"
"numPadButtons","numpadChild/numpadButton","numHexCopyBG","button"
"numPadButtons","numpadChild/numpadButton","num3","button"
"numPadButtons","numpadChild/numpadButton","num2","button"
"numPadButtons","numpadChild/numpadButton","num1","button"
"numPadButtons","numpadChild/numPadBorder","","graphic"
"NumPadSet","numpadChild/numpadButton","numInc","button"
"NumPadSet","numpadChild/numpadButton","num0","button"
"NumPadSet","numpadChild/numpadButton","numDec","button"
"NumPadSet","numpadChild/numpadButton","num9","button"
"NumPadSet","numpadChild/numpadButton","num8","button"
"NumPadSet","numpadChild/numpadButton","num7","button"
"NumPadSet","numpadChild/numpadButton","oklchBG","button"
"NumPadSet","numpadChild/numpadButton","num6","button"
"NumPadSet","numpadChild/numpadButton","num5","button"
